address,Private Service Line Material,Public Service Line Material
10446 S OAKLEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
10446 S OAKLEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
10432 S LONGWOOD DR,SUSPECTED LEAD,SUSPECTED LEAD
10432 S LONGWOOD DR,SUSPECTED LEAD,SUSPECTED LEAD
10036 S LONGWOOD DR,SUSPECTED LEAD,SUSPECTED LEAD
9900 S HAMILTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
9900 S HAMILTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2320 W 101ST ST,SUSPECTED LEAD,SUSPECTED LEAD
11664 68 S LONGWOOD DR,SUSPECTED LEAD,SUSPECTED LEAD
10706 S SEELEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
9615 S LONGWOOD DR,SUSPECTED LEAD,SUSPECTED LEAD
10511 S OAKLEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
10511 S OAKLEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
1841 55 W 95TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1841 55 W 95TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2320 W 101ST ST,SUSPECTED LEAD,SUSPECTED LEAD
10036 S LONGWOOD DR,SUSPECTED LEAD,SUSPECTED LEAD
11310 S BISHOP ST,SUSPECTED LEAD,SUSPECTED LEAD
11310 S BISHOP ST,SUSPECTED LEAD,SUSPECTED LEAD
11101 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
11103 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
11103 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
11109 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
11109 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
11111 S GREEN ST,SUSPECTED LEAD,SUSPECTED LEAD
1466 W 115TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1466 W 115TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1846 62 S KILBOURN AVE,SUSPECTED LEAD,SUSPECTED LEAD
3300 24 W CERMAK RD,SUSPECTED LEAD,SUSPECTED LEAD
3914 26 W OGDEN AVE,SUSPECTED LEAD,SUSPECTED LEAD
3300 24 W CERMAK RD,SUSPECTED LEAD,SUSPECTED LEAD
3234 36 W 23RD ST,SUSPECTED LEAD,SUSPECTED LEAD
3234 36 W 23RD ST,SUSPECTED LEAD,SUSPECTED LEAD
1900 04 S HARDING AVE,SUSPECTED LEAD,SUSPECTED LEAD
1901 09 S KILBOURN AVE,SUSPECTED LEAD,SUSPECTED LEAD
1300 14 S KILBOURN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2459 S WHIPPLE ST,SUSPECTED LEAD,SUSPECTED LEAD
2459 S WHIPPLE ST,SUSPECTED LEAD,SUSPECTED LEAD
2875 W 19TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3634 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3748 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3535 39 W CERMAK RD,SUSPECTED LEAD,SUSPECTED LEAD
4218 20 W 26TH ST,SUSPECTED LEAD,SUSPECTED LEAD
