Address,Private Service Line Material,Public Service Line Material
1931 35 S HOMAN AVE,NOT LEAD,LEAD
6849 S ST LAWRENCE AVE,NOT LEAD,LEAD
201 03 E OHIO ST,NOT LEAD,NOT LEAD
1837 39 S KARLOV AVE,NOT LEAD,SUSPECTED LEAD
2337 W 108TH PL,NOT LEAD,SUSPECTED LEAD
8015 S GREEN ST,NOT LEAD,LEAD
2459 W MADISON ST,NOT LEAD,NOT LEAD
2133 35 W CORTEZ ST,NOT LEAD,SUSPECTED LEAD
6831 S JEFFERY BLVD,NOT LEAD,SUSPECTED LEAD
8152 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
2651 W WASHINGTON BLVD,NOT LEAD,NOT LEAD
6028 36 S CHAMPLAIN AVE,NOT LEAD,NOT LEAD
1822 N MILWAUKEE AVE,LEAD,SUSPECTED LEAD
5301 03 S SACRAMENTO AVE,SUSPECTED LEAD,SUSPECTED LEAD
3200 10 W 56TH ST,SUSPECTED LEAD,SUSPECTED LEAD
632 E 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2839 S ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
1139 41 N PINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1220 22 S CHRISTIANA AVE,NOT LEAD,SUSPECTED LEAD
7541 43 N WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
4030 34 W IRVING PARK RD,NOT LEAD,NOT LEAD
1767 W ALBION AVE,NOT LEAD,SUSPECTED LEAD
11019 S KEDZIE AVE,NOT LEAD,SUSPECTED LEAD
6342 44 S ADA ST,NOT LEAD,SUSPECTED LEAD
5843 S LA SALLE ST,NOT LEAD,NOT LEAD
6731 S ST LAWRENCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
2900 12 N LINCOLN AVE,NOT LEAD,LEAD
4955 S DR MARTIN LUTHER KING JR DR,NOT LEAD,NOT LEAD
2715 17 N MAPLEWOOD AVE,NOT LEAD,SUSPECTED LEAD
12147 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
7435 S ST LAWRENCE AVE,LEAD,SUSPECTED LEAD
9430 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
2644 48 W MADISON ST,NOT LEAD,SUSPECTED LEAD
222 E 96TH ST,NOT LEAD,SUSPECTED LEAD
1736 W 101ST ST,NOT LEAD,SUSPECTED LEAD
613 E 103RD PL,NOT LEAD,SUSPECTED LEAD
5455 W CRYSTAL ST,SUSPECTED LEAD,SUSPECTED LEAD
2856 N SPAULDING AVE,GALVANIZED REQUIRING REPLACEMENT,SUSPECTED LEAD
3226 W FULTON BLVD,NOT LEAD,SUSPECTED LEAD
5534 44 W GEORGE ST,SUSPECTED LEAD,SUSPECTED LEAD
3628 S BLAKE ST,NOT LEAD,SUSPECTED LEAD
4416 28 N ST LOUIS AVE,NOT LEAD,NOT LEAD
9034 S JEFFERY BLVD,NOT LEAD,SUSPECTED LEAD
1740 W DIVISION ST,NOT LEAD,SUSPECTED LEAD
6144 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
8134 S SOUTH SHORE DR,NOT LEAD,LEAD
8224 S LOOMIS BLVD,NOT LEAD,SUSPECTED LEAD
9748 S BEVERLY AVE,NOT LEAD,NOT LEAD
3151 W HARRISON ST,NOT LEAD,NOT LEAD
1420 22 W WINNEMAC AVE,NOT LEAD,LEAD
1426 28 W WINNEMAC AVE,NOT LEAD,LEAD
7800 02 S THROOP ST,NOT LEAD,SUSPECTED LEAD
340 52 N LATROBE AVE,NOT LEAD,SUSPECTED LEAD
7511 S JEFFERY BLVD,NOT LEAD,SUSPECTED LEAD
1850 52 N SPAULDING AVE,SUSPECTED LEAD,SUSPECTED LEAD
612 E 103RD PL,NOT LEAD,SUSPECTED LEAD
3762 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
3839 S HALSTED ST,NOT LEAD,NOT LEAD
4953 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
3727 29 S HALSTED ST,NOT LEAD,NOT LEAD
4114 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
9418 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
12001 05 S INDIANA AVE,SUSPECTED LEAD,SUSPECTED LEAD
3831 33 S HALSTED ST,NOT LEAD,SUSPECTED LEAD
3621 25 S HALSTED ST,NOT LEAD,SUSPECTED LEAD
3600 04 S HALSTED ST,NOT LEAD,SUSPECTED LEAD
3823 27 S HALSTED ST,NOT LEAD,NOT LEAD
3626 28 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
3817 19 S HALSTED ST,NOT LEAD,NOT LEAD
